Species,Type,Fuzziness?,Interesting bits,Folder,Paper
Tethytimea tylota,Demo,no,no,Extant,zookeys-680-105
Rhabdastrella distincta,Demo,no,no,Extant,zookeys-680-105
Amphimedon anastomosa,Demo,no,no,Extant,zookeys-680-105
Asbestopluma hypogea,Demo,yes ,carnivore,Extant,VaceletBoury-Esnault1996
Ascandra spalatensis,Calcarea,yes ,no,Extant,301-Article Text-1584-1-10-20160302
Clathrina primordialis,Calcarea,no,one spicule type but great size variation,Extant,301-Article Text-1584-1-10-20160302
Borojevia croatica,Calcarea,yes ,no,Extant,301-Article Text-1584-1-10-20160302
Farrea bowerbanki,Hex,no,Some vestigial rays noted,Extant,boury-esnault_et_al_2017hexactinellida
Tretodictyum reiswigi,Hex,no,no,Extant,boury-esnault_et_al_2017hexactinellida
Haljalaspongia inaudita,Hex,yes ,distinct layers,Fossil,SG143_001-014
Leucandra falakra,Calcarea,yes ,Giant spicules; pairing,Extant,301-Article Text-1584-1-10-20160302
Hymedesmia anatoliensis,Demo,no,no,Extant,zoo-39-4-2-1312-40
